id,formula_id,family,mode,level,template_id,answer,problem_sha256_16,automated_validation,in_test_split,human_problem_clear,human_formula_match,human_answer_verified,human_notes
CMF060_direct_t2_0001,CMF060,environmental_response,direct,2,2,0.613,042fccc52dae33de,pass,yes,yes,yes,yes,
CMF016_sensitivity_t0_0001,CMF016,methane_emission,sensitivity,2,0,0.021,b6a26e68802a9dee,pass,yes,yes,yes,yes,
CMF010_direct_t2_0001,CMF010,carbon_nitrogen_cycle,direct,1,2,0.938,0cb999a965ac93c9,pass,yes,yes,yes,yes,
CMF048_chain_2_t0_0001,CMF048,growth_yield,chain_2,4,0,40.55,867a19a09fb7f2b8,pass,yes,yes,yes,yes,
CMF058_branch_t0_0001,CMF058,environmental_response,branch,4,0,0.506,38612559d8c0ad9c,pass,yes,yes,yes,yes,
CMF011_sensitivity_t0_0000,CMF011,carbon_nitrogen_cycle,sensitivity,3,0,2.380,f423fe2d4b8d1405,pass,yes,yes,yes,yes,
CMF003_direct_t1_0000,CMF003,carbon_nitrogen_cycle,direct,1,1,69.61,c4486b08d6759bc1,pass,yes,yes,yes,yes,
CMF012_sensitivity_t1_0001,CMF012,carbon_nitrogen_cycle,sensitivity,3,1,0.974,2a98c683c8d4cc40,pass,yes,yes,yes,yes,
CMF018_direct_t0_0001,CMF018,methane_emission,direct,2,0,0.104,e5e3b76cf76badaa,pass,yes,yes,yes,yes,
CMF054_sensitivity_t2_0000,CMF054,growth_yield,sensitivity,2,2,4925.7,ea2149445581a94f,pass,yes,yes,yes,yes,
CMF052_sensitivity_t0_0000,CMF052,growth_yield,sensitivity,2,0,0.0027,04f5a1b04334a3c3,pass,yes,yes,yes,yes,
CMF023_sensitivity_t1_0001,CMF023,methane_emission,sensitivity,2,1,0.314,f1f1421436664b56,pass,yes,yes,yes,yes,
CMF050_branch_t1_0001,CMF050,growth_yield,branch,4,1,0.74,3ec425c9fb690b6e,pass,yes,yes,yes,yes,
CMF023_direct_t0_0000,CMF023,methane_emission,direct,1,0,0.313,bc88f40f3f9dac50,pass,yes,yes,yes,yes,
CMF002_sensitivity_t1_0000,CMF002,carbon_nitrogen_cycle,sensitivity,3,1,34.785,04a7d02b4fcd6f9b,pass,yes,yes,yes,yes,
CMF044_sensitivity_t0_0000,CMF044,growth_yield,sensitivity,2,0,0.91,7d3f58c6dda0e553,pass,yes,yes,yes,yes,
CMF001_direct_t0_0000,CMF001,carbon_nitrogen_cycle,direct,1,0,1.078,f388c1ca3d4db55d,pass,yes,yes,yes,yes,
CMF045_chain_2_t1_0000,CMF045,growth_yield,chain_2,4,1,0.62,1f30c4a0c0277ca0,pass,yes,yes,yes,yes,
CMF016_chain_2_t0_0000,CMF016,methane_emission,chain_2,3,0,0.009,ee7391d9e146dbd5,pass,yes,yes,yes,yes,
CMF019_sensitivity_t0_0000,CMF019,methane_emission,sensitivity,2,0,0.343,49a67ea264b6554f,pass,yes,yes,yes,yes,
CMF026_sensitivity_t0_0000,CMF026,growth_yield,sensitivity,3,0,19.42,c11a9590ff5f0ec6,pass,yes,yes,yes,yes,
CMF012_branch_t1_0000,CMF012,carbon_nitrogen_cycle,branch,4,1,0.739,0b6b0e604333259b,pass,yes,yes,yes,yes,
CMF003_direct_t2_0001,CMF003,carbon_nitrogen_cycle,direct,1,2,47.09,a838147a4d004049,pass,yes,yes,yes,yes,
CMF039_branch_t0_0001,CMF039,growth_yield,branch,4,0,0.91,c711cb5db2a6dfcd,pass,yes,yes,yes,yes,
CMF031_direct_t2_0001,CMF031,growth_yield,direct,1,2,0.98,8d28250ffa45930d,pass,yes,yes,yes,yes,
CMF020_direct_t2_0001,CMF020,methane_emission,direct,1,2,3.441,48e5ba64c737f53d,pass,yes,yes,yes,yes,
CMF017_chain_2_t1_0001,CMF017,methane_emission,chain_2,4,1,5.200,4c6bd0e3c0fab26a,pass,yes,yes,yes,yes,
CMF052_chain_2_t2_0000,CMF052,growth_yield,chain_2,3,2,0.0061,4c1a8130d0562f37,pass,yes,yes,yes,yes,
CMF037_sensitivity_t1_0001,CMF037,growth_yield,sensitivity,2,1,1.40,83c8affe4d6e0818,pass,yes,yes,yes,yes,
CMF042_branch_t2_0000,CMF042,growth_yield,branch,3,2,0.49,10c9285187e129b4,pass,yes,yes,yes,yes,
CMF018_direct_t0_0000,CMF018,methane_emission,direct,2,0,0.074,660bdd10bc097a24,pass,yes,yes,yes,yes,
CMF041_sensitivity_t2_0001,CMF041,growth_yield,sensitivity,3,2,0.14,4ef148d088524aa7,pass,yes,yes,yes,yes,
CMF002_direct_t1_0000,CMF002,carbon_nitrogen_cycle,direct,2,1,22.903,a45408f5d38137bf,pass,yes,yes,yes,yes,
CMF052_chain_2_t1_0001,CMF052,growth_yield,chain_2,3,1,0.0035,8950d5ae9f62a04a,pass,yes,yes,yes,yes,
CMF057_branch_t0_0001,CMF057,environmental_response,branch,4,0,1.630,32a8dfc1ddc519ad,pass,yes,yes,yes,yes,
CMF004_chain_2_t1_0001,CMF004,carbon_nitrogen_cycle,chain_2,4,1,0.656,6198e3249a68839c,pass,yes,yes,yes,yes,
CMF030_direct_t2_0001,CMF030,growth_yield,direct,2,2,1.00,f7ee48991f0ff85c,pass,yes,yes,yes,yes,
CMF062_direct_t2_0001,CMF062,environmental_response,direct,1,2,4924.7,9d508478a7ca783d,pass,yes,yes,yes,yes,
CMF006_direct_t2_0001,CMF006,carbon_nitrogen_cycle,direct,1,2,442.59,a33b74972afc04ae,pass,yes,yes,yes,yes,
CMF036_sensitivity_t1_0000,CMF036,growth_yield,sensitivity,2,1,0.493,e62f90beb8dcce48,pass,yes,yes,yes,yes,
CMF050_sensitivity_t0_0000,CMF050,growth_yield,sensitivity,3,0,0.00,7b22c1e9de84c965,pass,yes,yes,yes,yes,
CMF029_direct_t0_0001,CMF029,growth_yield,direct,1,0,1.43,480b63057226921c,pass,yes,yes,yes,yes,
CMF035_sensitivity_t0_0001,CMF035,growth_yield,sensitivity,3,0,0.01,c90f81f31de3ccb8,pass,yes,yes,yes,yes,
CMF018_sensitivity_t0_0001,CMF018,methane_emission,sensitivity,3,0,1.000,105779388b7911d7,pass,yes,yes,yes,yes,
CMF037_chain_2_t2_0001,CMF037,growth_yield,chain_2,3,2,8.87,81ab37cc9e23ebee,pass,yes,yes,yes,yes,
CMF042_branch_t2_0001,CMF042,growth_yield,branch,3,2,0.33,2d54dc5eb01d09d5,pass,yes,yes,yes,yes,
CMF035_sensitivity_t0_0000,CMF035,growth_yield,sensitivity,3,0,1.00,2ea50795d618f845,pass,yes,yes,yes,yes,
CMF005_sensitivity_t0_0000,CMF005,carbon_nitrogen_cycle,sensitivity,2,0,4.368,1458ac1794deee52,pass,yes,yes,yes,yes,
CMF007_chain_2_t2_0001,CMF007,carbon_nitrogen_cycle,chain_2,3,2,46.309,1b3f48ffb376e00c,pass,yes,yes,yes,yes,
CMF057_direct_t0_0000,CMF057,environmental_response,direct,2,0,1.406,eacf7365bef49f36,pass,yes,yes,yes,yes,
CMF050_direct_t1_0000,CMF050,growth_yield,direct,2,1,0.40,dcc3edb8dafb8edf,pass,yes,yes,yes,yes,
CMF053_direct_t1_0001,CMF053,growth_yield,direct,2,1,154.75,885c95c8ef3d46b7,pass,yes,yes,yes,yes,
CMF061_sensitivity_t2_0000,CMF061,environmental_response,sensitivity,2,2,0.412,1f8d7d01630cc692,pass,yes,yes,yes,yes,
CMF039_branch_t0_0000,CMF039,growth_yield,branch,4,0,0.90,112989edea36ddb1,pass,yes,yes,yes,yes,
CMF030_direct_t2_0000,CMF030,growth_yield,direct,2,2,1.00,502aba5b87e148fc,pass,yes,yes,yes,yes,
CMF008_branch_t2_0000,CMF008,carbon_nitrogen_cycle,branch,4,2,1.232,4612208c534fd0cf,pass,yes,yes,yes,yes,
CMF050_sensitivity_t1_0001,CMF050,growth_yield,sensitivity,3,1,1.00,0a8a33de8cfe8224,pass,yes,yes,yes,yes,
CMF060_direct_t0_0001,CMF060,environmental_response,direct,2,0,0.820,b70ba4ba6565d647,pass,yes,yes,yes,yes,
CMF047_direct_t2_0000,CMF047,growth_yield,direct,1,2,13.47,8e68e601080d0c50,pass,yes,yes,yes,yes,
CMF042_direct_t2_0000,CMF042,growth_yield,direct,1,2,0.28,04947236d53903fe,pass,yes,yes,yes,yes,
CMF040_direct_t2_0001,CMF040,growth_yield,direct,1,2,13.06,b077e03f04cfeaf5,pass,yes,yes,yes,yes,
CMF053_sensitivity_t1_0000,CMF053,growth_yield,sensitivity,3,1,270.36,210b5d1f725e7409,pass,yes,yes,yes,yes,
CMF016_chain_2_t1_0001,CMF016,methane_emission,chain_2,3,1,0.006,82177b021af2d85e,pass,yes,yes,yes,yes,
CMF037_sensitivity_t0_0001,CMF037,growth_yield,sensitivity,2,0,0.27,f24ed277f1ee7a73,pass,yes,yes,yes,yes,
CMF019_sensitivity_t2_0001,CMF019,methane_emission,sensitivity,2,2,0.206,625f4d9f61a70e81,pass,yes,yes,yes,yes,
CMF041_direct_t2_0001,CMF041,growth_yield,direct,2,2,0.15,7fded1def9fd2cf5,pass,yes,yes,yes,yes,
CMF007_sensitivity_t0_0000,CMF007,carbon_nitrogen_cycle,sensitivity,2,0,43.148,7bdcdf9aa14215fb,pass,yes,yes,yes,yes,
CMF026_sensitivity_t1_0001,CMF026,growth_yield,sensitivity,3,1,7.96,d9a1b05e88737c49,pass,yes,yes,yes,yes,
CMF040_sensitivity_t2_0000,CMF040,growth_yield,sensitivity,2,2,12.20,af95d6c8fa909b85,pass,yes,yes,yes,yes,
CMF042_direct_t2_0001,CMF042,growth_yield,direct,1,2,0.41,b3c7b6d3113d0ea4,pass,yes,yes,yes,yes,
CMF001_direct_t2_0000,CMF001,carbon_nitrogen_cycle,direct,1,2,1.327,b951ef4d27238d15,pass,yes,yes,yes,yes,
CMF042_direct_t0_0000,CMF042,growth_yield,direct,1,0,0.01,abfac17ee627e860,pass,yes,yes,yes,yes,
CMF041_branch_t0_0001,CMF041,growth_yield,branch,4,0,0.26,5bb0fdfb0d0b32d6,pass,yes,yes,yes,yes,
CMF037_chain_2_t0_0000,CMF037,growth_yield,chain_2,3,0,1.21,6257e00b71f55a00,pass,yes,yes,yes,yes,
CMF033_chain_2_t0_0001,CMF033,growth_yield,chain_2,3,0,410.21,d8d1742a83e07d31,pass,yes,yes,yes,yes,
CMF014_sensitivity_t1_0001,CMF014,carbon_nitrogen_cycle,sensitivity,3,1,1.000,0e83526d175904d1,pass,yes,yes,yes,yes,
CMF033_sensitivity_t1_0001,CMF033,growth_yield,sensitivity,2,1,475.26,7effb0c14d2bec8d,pass,yes,yes,yes,yes,
CMF038_direct_t2_0001,CMF038,growth_yield,direct,1,2,0.69,6394c484b339997f,pass,yes,yes,yes,yes,
CMF057_branch_t2_0000,CMF057,environmental_response,branch,4,2,1.413,9dd0190c9dcddb6c,pass,yes,yes,yes,yes,
CMF021_chain_2_t1_0001,CMF021,methane_emission,chain_2,3,1,1.376,d47610ee48dde0d9,pass,yes,yes,yes,yes,
CMF044_direct_t0_0000,CMF044,growth_yield,direct,1,0,0.70,32f25bbf4f3fcbff,pass,yes,yes,yes,yes,
CMF024_direct_t1_0001,CMF024,methane_emission,direct,1,1,28.04,985a92fc82f35fc0,pass,yes,yes,yes,yes,
CMF033_chain_2_t1_0000,CMF033,growth_yield,chain_2,3,1,295.16,71b2f8f7b9c66f8f,pass,yes,yes,yes,yes,
CMF050_chain_2_t2_0000,CMF050,growth_yield,chain_2,4,2,0.18,249fb22041bf889f,pass,yes,yes,yes,yes,
CMF060_branch_t1_0001,CMF060,environmental_response,branch,4,1,0.624,236913273dc976d2,pass,yes,yes,yes,yes,
CMF009_direct_t2_0000,CMF009,carbon_nitrogen_cycle,direct,2,2,1.100,5a57b3c9db3c56b2,pass,yes,yes,yes,yes,
CMF029_sensitivity_t1_0001,CMF029,growth_yield,sensitivity,2,1,1.37,07c4adbed2bb15d3,pass,yes,yes,yes,yes,
CMF044_sensitivity_t1_0001,CMF044,growth_yield,sensitivity,2,1,0.86,a9a4ef8c41f5ef63,pass,yes,yes,yes,yes,
CMF008_direct_t0_0001,CMF008,carbon_nitrogen_cycle,direct,2,0,2.995,1560a9668a47e0b0,pass,yes,yes,yes,yes,
CMF007_sensitivity_t2_0001,CMF007,carbon_nitrogen_cycle,sensitivity,2,2,28.928,8c5d64d6dedf0672,pass,yes,yes,yes,yes,
CMF020_direct_t1_0001,CMF020,methane_emission,direct,1,1,1.354,e2d266c85b37544a,pass,yes,yes,yes,yes,
CMF051_direct_t1_0001,CMF051,growth_yield,direct,2,1,0.358,93bf508277f54f44,pass,yes,yes,yes,yes,
CMF048_direct_t1_0000,CMF048,growth_yield,direct,2,1,14.91,7cd30d1aab937777,pass,yes,yes,yes,yes,
CMF060_sensitivity_t0_0001,CMF060,environmental_response,sensitivity,3,0,0.000,9ff0ef1139350686,pass,yes,yes,yes,yes,
CMF061_sensitivity_t0_0000,CMF061,environmental_response,sensitivity,2,0,0.425,d711c174969422f5,pass,yes,yes,yes,yes,
