model,condition,acc_tol_0.0001,acc_tol_0.0005,acc_tol_0.001,acc_tol_0.005,acc_tol_0.01,acc_tol_0.05,acc_tol_0.1
qwen3_8b,C,52.3,54.9,57.1,65.8,68.6,74.8,78.6
qwen3_8b,K_wrong,5.5,6.0,6.4,6.5,7.1,8.4,11.2
qwen3_14b,C,59.9,64.7,68.2,79.0,81.2,86.7,89.5
qwen3_14b,K_wrong,9.1,10.3,10.8,11.5,11.7,12.8,14.0
qwen35_9b,C,71.4,75.8,78.6,81.4,81.5,82.7,83.6
qwen35_9b,K_wrong,13.6,14.0,14.8,14.9,15.0,16.8,19.8
deepseek_r1_distill_qwen_14b,C,55.1,57.1,59.3,65.2,66.4,67.5,68.3
deepseek_r1_distill_qwen_14b,K_wrong,10.4,11.3,11.3,12.0,12.8,15.0,18.4
gemma3_12b_it,C,46.1,48.7,50.7,64.2,67.8,76.3,79.2
gemma3_12b_it,K_wrong,6.8,7.2,7.6,9.1,9.6,11.3,13.6
