model,condition,accuracy_pct,correct,n,cluster_ci_lo,cluster_ci_hi,formula_clusters,icc,design_effect
qwen3_8b,C,68.6,515,751,60.4,76.2,62,0.4154,5.616
qwen3_8b,K_name,73.4,551,751,65.6,80.5,62,0.4215,5.685
qwen3_8b,K_formula,74.7,561,751,66.9,81.8,62,0.436,5.845
qwen3_8b,K_domain,75.8,569,751,67.4,83.2,62,0.4763,6.293
qwen3_8b,K_distractor,71.2,535,751,62.9,79.4,62,0.4727,6.253
qwen3_8b,K_wrong,7.1,53,751,3.3,11.4,62,0.3982,5.426
qwen3_14b,C,81.2,610,751,73.4,88.4,62,0.5108,6.677
qwen3_14b,K_name,84.2,632,751,76.7,90.8,62,0.5267,6.853
qwen3_14b,K_formula,83.2,625,751,75.8,89.8,62,0.4829,6.366
qwen3_14b,K_domain,84.3,633,751,77.0,90.7,62,0.4837,6.375
qwen3_14b,K_distractor,85.0,638,751,78.1,91.1,62,0.4566,6.074
qwen3_14b,K_wrong,11.7,88,751,6.5,17.7,62,0.5572,7.192
qwen35_9b,C,81.5,612,751,74.8,87.6,62,0.379,5.211
qwen35_9b,K_name,86.7,651,751,80.9,91.9,62,0.3355,4.728
qwen35_9b,K_formula,86.3,648,751,80.7,91.4,62,0.3367,4.742
qwen35_9b,K_domain,84.0,631,751,77.6,90.0,62,0.3919,5.355
qwen35_9b,K_distractor,94.9,713,751,91.7,97.6,62,0.232,3.578
qwen35_9b,K_wrong,15.0,113,751,9.1,21.8,62,0.5768,7.41
deepseek_r1_distill_qwen_14b,C,66.4,499,751,59.0,73.7,62,0.314,4.49
deepseek_r1_distill_qwen_14b,K_name,68.3,513,751,60.5,75.8,62,0.3693,5.104
deepseek_r1_distill_qwen_14b,K_formula,70.7,531,751,63.4,77.6,62,0.3241,4.602
deepseek_r1_distill_qwen_14b,K_domain,70.2,527,751,62.8,77.3,62,0.3342,4.713
deepseek_r1_distill_qwen_14b,K_distractor,74.4,559,751,67.5,81.1,62,0.304,4.379
deepseek_r1_distill_qwen_14b,K_wrong,12.8,96,751,7.5,19.0,62,0.562,7.246
gemma3_12b_it,C,67.8,509,751,58.7,76.8,62,0.547,7.078
gemma3_12b_it,K_name,68.6,515,751,59.9,76.7,62,0.4779,6.31
gemma3_12b_it,K_formula,66.8,502,751,58.2,75.2,62,0.4696,6.218
gemma3_12b_it,K_domain,68.6,515,751,59.7,77.1,62,0.4904,6.45
gemma3_12b_it,K_distractor,68.6,515,751,59.8,77.2,62,0.5244,6.827
gemma3_12b_it,K_wrong,9.6,72,751,5.0,14.9,62,0.4964,6.517
