model,condition,n,count_boxed,count_gsm8k_hash,count_therefore_answer,count_answer_line,count_last_number_fallback,count_none,pct_boxed,pct_gsm8k_hash,pct_therefore_answer,pct_answer_line,pct_last_number_fallback,pct_none
qwen3_8b,C,751,0,0,0,748,3,0,0.0,0.0,0.0,99.6,0.4,0.0
qwen3_8b,K_name,751,0,0,0,747,4,0,0.0,0.0,0.0,99.47,0.53,0.0
qwen3_8b,K_formula,751,0,0,0,743,8,0,0.0,0.0,0.0,98.93,1.07,0.0
qwen3_8b,K_domain,751,0,0,0,746,5,0,0.0,0.0,0.0,99.33,0.67,0.0
qwen3_8b,K_distractor,751,0,0,0,746,5,0,0.0,0.0,0.0,99.33,0.67,0.0
qwen3_8b,K_wrong,751,0,0,0,750,0,1,0.0,0.0,0.0,99.87,0.0,0.13
qwen3_14b,C,751,0,0,0,749,2,0,0.0,0.0,0.0,99.73,0.27,0.0
qwen3_14b,K_name,751,0,0,0,751,0,0,0.0,0.0,0.0,100.0,0.0,0.0
qwen3_14b,K_formula,751,0,0,0,751,0,0,0.0,0.0,0.0,100.0,0.0,0.0
qwen3_14b,K_domain,751,0,0,0,751,0,0,0.0,0.0,0.0,100.0,0.0,0.0
qwen3_14b,K_distractor,751,0,0,0,751,0,0,0.0,0.0,0.0,100.0,0.0,0.0
qwen3_14b,K_wrong,751,0,0,0,750,1,0,0.0,0.0,0.0,99.87,0.13,0.0
qwen35_9b,C,751,0,0,0,639,112,0,0.0,0.0,0.0,85.09,14.91,0.0
qwen35_9b,K_name,751,0,0,0,676,75,0,0.0,0.0,0.0,90.01,9.99,0.0
qwen35_9b,K_formula,751,0,0,0,692,59,0,0.0,0.0,0.0,92.14,7.86,0.0
qwen35_9b,K_domain,751,0,0,0,680,71,0,0.0,0.0,0.0,90.55,9.45,0.0
qwen35_9b,K_distractor,751,0,0,0,750,1,0,0.0,0.0,0.0,99.87,0.13,0.0
qwen35_9b,K_wrong,751,0,0,2,573,176,0,0.0,0.0,0.27,76.3,23.44,0.0
deepseek_r1_distill_qwen_14b,C,751,0,0,2,463,286,0,0.0,0.0,0.27,61.65,38.08,0.0
deepseek_r1_distill_qwen_14b,K_name,751,0,0,2,479,270,0,0.0,0.0,0.27,63.78,35.95,0.0
deepseek_r1_distill_qwen_14b,K_formula,751,0,0,1,493,257,0,0.0,0.0,0.13,65.65,34.22,0.0
deepseek_r1_distill_qwen_14b,K_domain,751,0,0,1,496,254,0,0.0,0.0,0.13,66.05,33.82,0.0
deepseek_r1_distill_qwen_14b,K_distractor,751,0,0,1,538,212,0,0.0,0.0,0.13,71.64,28.23,0.0
deepseek_r1_distill_qwen_14b,K_wrong,751,0,0,9,404,338,0,0.0,0.0,1.2,53.79,45.01,0.0
gemma3_12b_it,C,751,0,0,0,750,1,0,0.0,0.0,0.0,99.87,0.13,0.0
gemma3_12b_it,K_name,751,0,0,0,746,5,0,0.0,0.0,0.0,99.33,0.67,0.0
gemma3_12b_it,K_formula,751,0,0,0,742,9,0,0.0,0.0,0.0,98.8,1.2,0.0
gemma3_12b_it,K_domain,751,0,0,0,748,3,0,0.0,0.0,0.0,99.6,0.4,0.0
gemma3_12b_it,K_distractor,751,0,0,0,751,0,0,0.0,0.0,0.0,100.0,0.0,0.0
gemma3_12b_it,K_wrong,751,0,0,2,746,3,0,0.0,0.0,0.27,99.33,0.4,0.0
