model,condition,mean,median,p95
qwen3_8b,C,254.6,251.0,320.0
qwen3_8b,K_name,270.6,267.0,338.0
qwen3_8b,K_formula,388.4,380.0,537.5
qwen3_8b,K_domain,438.1,430.0,582.0
qwen3_8b,K_distractor,999.4,984.0,1232.0
qwen3_8b,K_wrong,453.9,442.0,578.5
qwen3_14b,C,254.6,251.0,320.0
qwen3_14b,K_name,270.6,267.0,338.0
qwen3_14b,K_formula,388.4,380.0,537.5
qwen3_14b,K_domain,438.1,430.0,582.0
qwen3_14b,K_distractor,999.4,984.0,1232.0
qwen3_14b,K_wrong,453.9,442.0,578.5
qwen35_9b,C,260.9,257.0,326.0
qwen35_9b,K_name,277.5,274.0,344.0
qwen35_9b,K_formula,400.2,392.0,552.5
qwen35_9b,K_domain,450.4,443.0,598.5
qwen35_9b,K_distractor,1029.6,1016.0,1264.0
qwen35_9b,K_wrong,467.1,456.0,592.0
deepseek_r1_distill_qwen_14b,C,242.6,239.0,308.0
deepseek_r1_distill_qwen_14b,K_name,258.6,255.0,326.0
deepseek_r1_distill_qwen_14b,K_formula,376.4,368.0,525.5
deepseek_r1_distill_qwen_14b,K_domain,426.1,418.0,570.0
deepseek_r1_distill_qwen_14b,K_distractor,987.4,972.0,1220.0
deepseek_r1_distill_qwen_14b,K_wrong,441.9,430.0,566.5
gemma3_12b_it,C,260.1,256.0,335.0
gemma3_12b_it,K_name,275.6,270.0,353.0
gemma3_12b_it,K_formula,402.0,392.0,561.5
gemma3_12b_it,K_domain,451.1,442.0,608.0
gemma3_12b_it,K_distractor,1038.7,1019.0,1306.0
gemma3_12b_it,K_wrong,467.0,454.0,608.5
